co_num;co_name;co_title;co_region;co_career;co_education;co_salary;co_skill;co_work;co_prefer;co_dday;co_ceo;co_establish;co_type;co_employee;co_sector;co_website
57;(주)다온정보기술;Java, php, JSP, C#, C++, C, Python 등 프로그래머 모집합니다;전북 전주시;신입;학력 무관;연봉 3000만원;c, c++;스마트팜 시스템 프로그램 개발;원격 제어 및 장치 제어 개발 관심자, 센서, 통신, 펌웨어 개발 관심자;채용시 마감;노기수;2017년 09월 18일;중소기업;10;컴퓨터 프로그래밍 서비스업;www.daoninfo.com
58;(주)아이옵스;(주)아이옵스 연구센터 채용(위성,레이다,S/W, GIS, AI, 개발);대전 유성구;신입;대졸(4년제) 이상;면접 후 결정;c++;위성 레이다 신호 처리 개발;관련 학과 전공자, 유관업무 경력자, C++ 또는 Matlab사용경험, 레이다 신호처리 SW개발 기술 요건 충족;채용시 마감;김영옥;2015년 03월 23일;중소기업;100;응용 소프트웨어 개발 및 공급업;www.i-ops.co.kr
59;(주)페이타랩;[패스오더] 개발자;서울 강남구;신입, 경력;학력 무관;회사내규에 따름;c++;WPF를 이용한 응용프로그램 개발, 배포 및 유지보수;Thermal Printer 연동 및 시스템 개발 경험자;상시 채용;곽수용;2018년 02월 28일;벤처기업;66;시스템 소프트웨어 개발 및 공급업;www.passorder.co.kr
60;신코;(주)신코 중앙연구소 소프트웨어 엔지니어 채용;대전 유성구;신입, 경력;대졸(4년제) 이상;회사내규에 따름;c++, c#;소프트웨어 개발;관련 전공 보유자(전기·전자공학, 전산학·컴퓨터공학, 정보·통신공학 등), 인근거주자, 지방근무 가능자, Install Shield 사용 겅험자, 유관업무 경력자;2024.01.29;최헌;1990년 11월 15일;중소기업;74;정밀기기 및 과학기기 도매업;www.scinco.com
61;타이아(주);타이아(주) 테크놀로지센터 (광주) 개발팀 채용공고;광주 광산구;신입, 경력;대졸(4년제) 이상;연봉 3100만원;c, c++;응용 소프트웨어 개발;컴퓨터 활용 능력 우수자, 응용 프로그램 개발 경험자, 정보처리기사 등 관련 자격증 소지자, 운전 가능자, 해당 직무경험자, 관련 전공자, 해외 출장 가능자;2024.01.31;이성미;2008년 02월 13일;중소기업;20;산업처리공정 제어장비 제조업;www.tiasolution.net
62;(주)씨유박스;로봇연구소 물류로봇시스템 동작제어 연구개발 신입 및 경력채용;대전 유성구;신입, 경력;석사졸업 이상;회사내규에 따름;c++, python;물류로봇시스템 동작 제어, 최적경로 생성 및 충돌회피 연구개발, 산업용 로봇 및 협동로봇 제어 SW 개발;매니퓰레이터 경로 계획 알고리즘 및 제어 시스템 개발 관련 경험자, screw theor 기반 기구학 알고리즘 개발 경험자;2024.01.31;남운성;2010년 05월 31일;중소기업;129;응용 소프트웨어 개발 및 공급업;www.cubox.ai
63;(주)퀄리티아;(주)퀄리티아 신입 및 경력직 C / C++ 개발자 모집;서울 강남구;신입, 경력;대졸(2,3년제) 이상;면접 후 결정;c, c++;상기 기존 자사제품 업그레이드 및 유지보수 개발;네트워크 프로그래밍관련 지식 보유자 및 활용, DBMS 활용 경험자;채용시 마감;김기영;2001년 12월 06일;중소기업;16;응용 소프트웨어 개발 및 공급업;www.qualitia.co.kr
64;(주)에이치피케이;DS제어 [SW 개발 업무] 정규직 모집(SW, PMAC, C, C#);경기 평택시;신입, 경력;대졸(2,3년제) 이상;면접 후 결정;c, c++, c#;자동화 장비 프로그램 개발;Laser장비제어 경험자, Vision 개발 경험자, 국내외 출장 가능자;2024.03.10;고정수;2023년 10월 01일;중소기업;192;반도체 제조용 기계 제조업;www.hpk.kr
65;(주)무등기업;전산(IT)팀원 채용 공고 - 전산개발;광주 광산구;신입, 경력;대졸(4년제) 이상;면접 후 결정;c++;전산 개발;정보처리기사 자격증 보유자, 해당직무 근무경험자;채용시 마감;박건우;1988년 01월 14일;중소기업;78;그 외 자동차용 신품 부품 제조업;www.moodng.com
66;(주)어셈블;인공지능 개발자 신입 및 경력직 채용;대전 유성구;신입, 경력;대졸(4년제) 이상;면접 후 결정;c#, python;데이터 분석, 인공지능 알고리즘 개발;컴퓨터/시스템공학, 인공지능 관련 프로젝트 실제 운영경험이 있는 분, 데이터 분석관력 자격증 보유자;2024.02.02;엄준영;2012년 12월 26일;중소기업;38;응용 소프트웨어 개발 및 공급업;www.assembble.com
